Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
792,792,0,0,0025c200,0025c1f7,00000000,1,004b8568,001e34ff,0
793,793,0,0,0025c200,0025c1f7,00000000,1,004b8569,001e34ff,0
794,794,0,0,0025c200,0025c1f8,00000000,1,004b856a,001e34ff,0
795,795,0,0,0025c200,0025c1f8,00000000,1,004b856b,001e34ff,0
796,796,0,0,0025c200,0025c1f9,00000000,1,004b856b,001e3500,0
797,797,0,0,0025c200,0025c1fa,00000000,1,004b856c,001e3500,0
798,798,0,0,0025c200,0025c1fa,00000000,1,004b856d,001e3500,0
799,799,0,0,0025c200,0025c1fb,00000000,1,004b856e,001e3500,0
800,800,0,0,0025c200,0025c1fc,00000000,1,004b856f,001e3500,0
801,801,0,0,0025c200,0025c1fd,00000000,1,004b856f,001e3501,0
802,802,0,0,0025c200,0025c1fe,00000000,1,004b8570,001e3501,0
803,803,0,0,0025c200,0025c1fe,00000000,1,004b8571,001e3501,0
804,804,0,0,0025c200,0025c1ff,00000000,1,004b8572,001e3501,0
805,805,0,0,0025c200,0025c200,00000000,1,004b8573,001e3501,0
806,806,0,0,0025c200,0025c200,00000000,1,004b8574,001e3501,0
807,807,0,0,0025c201,0025c200,00000000,1,004b8575,001e3501,0
808,808,0,0,0025c201,0025c200,00000000,1,004b8576,001e3501,0
809,809,0,0,0025c202,0025c200,00000000,1,004b8577,001e3501,0
810,810,0,0,0025c203,0025c200,00000000,1,004b8578,001e3501,0
811,811,0,0,0025c204,0025c200,00000000,1,004b8579,001e3501,0
812,812,0,0,0025c205,0025c200,00000000,1,004b857a,001e3501,0
813,813,0,0,0025c205,0025c200,00000000,1,004b857b,001e3501,0
814,814,0,0,0025c206,0025c200,00000000,1,004b857c,001e3501,0
815,815,0,0,0025c207,0025c200,00000000,1,004b857d,001e3501,0
816,816,0,0,0025c208,0025c200,00000000,1,004b857e,001e3501,0
817,817,0,0,0025c208,0025c200,00000000,1,004b857f,001e3501,0
818,818,0,0,0025c208,0025c200,00000000,1,004b8580,001e3501,0
819,819,0,0,0025c209,0025c200,00000000,1,004b8581,001e3501,0
820,820,0,0,0025c20a,0025c200,00000000,1,004b8582,001e3501,0
821,821,0,0,0025c20b,0025c200,00000000,1,004b8583,001e3501,0
822,822,0,0,0025c20c,0025c200,00000000,1,004b8584,001e3501,0
823,823,0,0,0025c20c,0025c200,00000000,1,004b8584,001e3502,0
824,824,0,0,0025c20d,0025c200,00000000,1,004b8584,001e3503,0
825,825,0,0,0025c20e,0025c200,00000000,1,004b8584,001e3504,0
